"","state","date","confirmed"
"1","Alabama","1/22/20",0
"2","Alaska","1/22/20",0
"3","American Samoa","1/22/20",0
"4","Arizona","1/22/20",0
"5","Arkansas","1/22/20",0
"6","California","1/22/20",0
"7","Colorado","1/22/20",0
"8","Connecticut","1/22/20",0
"9","Delaware","1/22/20",0
"10","Diamond Princess","1/22/20",0
"11","District of Columbia","1/22/20",0
"12","Florida","1/22/20",0
"13","Georgia","1/22/20",0
"14","Grand Princess","1/22/20",0
"15","Guam","1/22/20",0
"16","Hawaii","1/22/20",0
"17","Idaho","1/22/20",0
"18","Illinois","1/22/20",0
"19","Indiana","1/22/20",0
"20","Iowa","1/22/20",0
"21","Kansas","1/22/20",0
"22","Kentucky","1/22/20",0
"23","Louisiana","1/22/20",0
"24","Maine","1/22/20",0
"25","Maryland","1/22/20",0
"26","Massachusetts","1/22/20",0
"27","Michigan","1/22/20",0
"28","Minnesota","1/22/20",0
"29","Mississippi","1/22/20",0
"30","Missouri","1/22/20",0
"31","Montana","1/22/20",0
"32","Nebraska","1/22/20",0
"33","Nevada","1/22/20",0
"34","New Hampshire","1/22/20",0
"35","New Jersey","1/22/20",0
"36","New Mexico","1/22/20",0
"37","New York","1/22/20",0
"38","North Carolina","1/22/20",0
"39","North Dakota","1/22/20",0
"40","Northern Mariana Islands","1/22/20",0
"41","Ohio","1/22/20",0
"42","Oklahoma","1/22/20",0
"43","Oregon","1/22/20",0
"44","Pennsylvania","1/22/20",0
"45","Puerto Rico","1/22/20",0
"46","Rhode Island","1/22/20",0
"47","South Carolina","1/22/20",0
"48","South Dakota","1/22/20",0
"49","Tennessee","1/22/20",0
"50","Texas","1/22/20",0
"51","Utah","1/22/20",0
"52","Vermont","1/22/20",0
"53","Virgin Islands","1/22/20",0
"54","Virginia","1/22/20",0
"55","Washington","1/22/20",1
"56","West Virginia","1/22/20",0
"57","Wisconsin","1/22/20",0
"58","Wyoming","1/22/20",0
"59","Alabama","1/23/20",0
"60","Alaska","1/23/20",0
"61","American Samoa","1/23/20",0
"62","Arizona","1/23/20",0
"63","Arkansas","1/23/20",0
"64","California","1/23/20",0
"65","Colorado","1/23/20",0
"66","Connecticut","1/23/20",0
"67","Delaware","1/23/20",0
