"","days","state","new"
"1",0,"California",201
"2",0,"Illinois",168
"3",0,"New Jersey",437
"4",0,"New York",4090
"5",0,"Connecticut",88
"6",0,"Louisiana",335
"7",0,"Ohio",87
"8",0,"Oregon",30
"9",0,"Washington",224
"10",0,"West Virginia",0
"11",0,"Delaware",36
"12",0,"Michigan",464
"13",0,"New Mexico",17
"14",0,"Hawaii",1
"15",0,"Idaho",10
"16",0,"Indiana",109
"17",0,"Vermont",30
"18",0,"Wisconsin",140
"19",0,"Colorado",409
"20",0,"Minnesota",52
"21",0,"New Hampshire",21
"22",0,"Alaska",27
"23",0,"Montana",20
"24",0,"Rhode Island",36
"25",0,"District of Columbia",59
"26",0,"Kansas",42
"27",0,"Maryland",174
"28",0,"North Carolina",122
"29",0,"Virginia",130
"30",0,"Arizona",132
"31",0,"Nevada",165
"32",0,"Pennsylvania",1046
"33",0,"Maine",73
"34",0,"Tennessee",80
"35",0,"Texas",714
"36",0,"Florida",1260
"37",0,"Georgia",483
"38",0,"Mississippi",181
"39",0,"Alabama",119
"40",0,"Missouri",389
"41",0,"South Carolina",185
"42",1,"California",225
"43",1,"Illinois",296
"44",1,"New Jersey",587
"45",1,"New York",5084
"46",1,"Connecticut",203
"47",1,"Louisiana",216
"48",1,"Ohio",124
"49",1,"Oregon",19
"50",1,"Washington",107
"51",1,"West Virginia",6
"52",1,"Delaware",15
"53",1,"Michigan",503
"54",1,"New Mexico",13
"55",1,"Hawaii",4
"56",1,"Idaho",55
"57",1,"Indiana",168
"58",1,"Vermont",33
"59",1,"Wisconsin",107
"60",1,"Colorado",3
"61",1,"Minnesota",45
"62",1,"New Hampshire",29
"63",1,"Alaska",17
"64",1,"Montana",25
"65",1,"Rhode Island",55
"66",1,"District of Columbia",94
"67",1,"Kansas",62
"68",1,"Maryland",247
"69",1,"North Carolina",222
"70",1,"Virginia",229
"71",1,"Arizona",241
"72",1,"Nevada",184
"73",1,"Pennsylvania",1259
"74",1,"Maine",56
"75",1,"Tennessee",54
"76",1,"Texas",665
"77",1,"Florida",1269
"78",1,"Georgia",329
"79",1,"Mississippi",97
"80",1,"Alabama",151
"81",1,"Missouri",394
"82",1,"South Carolina",0
"83",2,"California",187
"84",2,"Illinois",236
"85",2,"New Jersey",930
"86",2,"New York",4797
"87",2,"Connecticut",257
"88",2,"Louisiana",407
"89",2,"Ohio",137
"90",2,"Oregon",56
"91",2,"Washington",263
"92",2,"West Virginia",17
"93",2,"Delaware",11
"94",2,"Michigan",549
"95",2,"New Mexico",0
"96",2,"Hawaii",11
"97",2,"Idaho",59
"98",2,"Indiana",334
"99",2,"Vermont",26
"100",2,"Wisconsin",198
"101",2,"Colorado",307
"102",2,"Minnesota",62
"103",2,"New Hampshire",27
"104",2,"Alaska",12
"105",2,"Montana",17
"106",2,"Rhode Island",114
"107",2,"District of Columbia",91
"108",2,"Kansas",51
"109",2,"Maryland",326
"110",2,"North Carolina",140
"111",2,"Virginia",234
"112",2,"Arizona",185
"113",2,"Nevada",51
"114",2,"Pennsylvania",1302
"115",2,"Maine",24
"116",2,"Tennessee",255
"117",2,"Texas",833
"118",2,"Florida",813
"119",2,"Georgia",487
"120",2,"Mississippi",183
"121",2,"Alabama",187
"122",2,"Missouri",79
"123",2,"South Carolina",376
"124",3,"California",282
"125",3,"Illinois",252
"126",3,"New Jersey",831
"127",3,"New York",5160
"128",3,"Connecticut",137
"129",3,"Louisiana",509
"130",3,"Ohio",164
"131",3,"Oregon",50
"132",3,"Washington",616
"133",3,"West Virginia",13
"134",3,"Delaware",33
"135",3,"Michigan",789
"136",3,"New Mexico",23
"137",3,"Hawaii",43
"138",3,"Idaho",29
"139",3,"Indiana",254
"140",3,"Vermont",27
"141",3,"Wisconsin",129
"142",3,"Colorado",567
"143",3,"Minnesota",73
"144",3,"New Hampshire",100
"145",3,"Alaska",5
"146",3,"Montana",27
"147",3,"Rhode Island",80
"148",3,"District of Columbia",67
"149",3,"Kansas",68
"150",3,"Maryland",345
