"","state","date","confirmed"
"1","Alabama",0020-01-22,0
"2","Alaska",0020-01-22,0
"3","American Samoa",0020-01-22,0
"4","Arizona",0020-01-22,0
"5","Arkansas",0020-01-22,0
"6","California",0020-01-22,0
"7","Colorado",0020-01-22,0
"8","Connecticut",0020-01-22,0
"9","Delaware",0020-01-22,0
"10","Diamond Princess",0020-01-22,0
"11","District of Columbia",0020-01-22,0
"12","Florida",0020-01-22,0
"13","Georgia",0020-01-22,0
"14","Grand Princess",0020-01-22,0
"15","Guam",0020-01-22,0
"16","Hawaii",0020-01-22,0
"17","Idaho",0020-01-22,0
"18","Illinois",0020-01-22,0
"19","Indiana",0020-01-22,0
"20","Iowa",0020-01-22,0
"21","Kansas",0020-01-22,0
"22","Kentucky",0020-01-22,0
"23","Louisiana",0020-01-22,0
"24","Maine",0020-01-22,0
"25","Maryland",0020-01-22,0
"26","Massachusetts",0020-01-22,0
"27","Michigan",0020-01-22,0
"28","Minnesota",0020-01-22,0
"29","Mississippi",0020-01-22,0
"30","Missouri",0020-01-22,0
"31","Montana",0020-01-22,0
"32","Nebraska",0020-01-22,0
"33","Nevada",0020-01-22,0
"34","New Hampshire",0020-01-22,0
"35","New Jersey",0020-01-22,0
"36","New Mexico",0020-01-22,0
"37","New York",0020-01-22,0
"38","North Carolina",0020-01-22,0
"39","North Dakota",0020-01-22,0
"40","Northern Mariana Islands",0020-01-22,0
"41","Ohio",0020-01-22,0
"42","Oklahoma",0020-01-22,0
"43","Oregon",0020-01-22,0
"44","Pennsylvania",0020-01-22,0
"45","Puerto Rico",0020-01-22,0
"46","Rhode Island",0020-01-22,0
"47","South Carolina",0020-01-22,0
"48","South Dakota",0020-01-22,0
"49","Tennessee",0020-01-22,0
"50","Texas",0020-01-22,0
"51","Utah",0020-01-22,0
"52","Vermont",0020-01-22,0
"53","Virgin Islands",0020-01-22,0
"54","Virginia",0020-01-22,0
"55","Washington",0020-01-22,1
"56","West Virginia",0020-01-22,0
"57","Wisconsin",0020-01-22,0
"58","Wyoming",0020-01-22,0
"59","Alabama",0020-01-23,0
"60","Alaska",0020-01-23,0
"61","American Samoa",0020-01-23,0
"62","Arizona",0020-01-23,0
"63","Arkansas",0020-01-23,0
"64","California",0020-01-23,0
"65","Colorado",0020-01-23,0
"66","Connecticut",0020-01-23,0
"67","Delaware",0020-01-23,0
"68","Diamond Princess",0020-01-23,0
"69","District of Columbia",0020-01-23,0
"70","Florida",0020-01-23,0
"71","Georgia",0020-01-23,0
"72","Grand Princess",0020-01-23,0
"73","Guam",0020-01-23,0
"74","Hawaii",0020-01-23,0
"75","Idaho",0020-01-23,0
"76","Illinois",0020-01-23,0
"77","Indiana",0020-01-23,0
"78","Iowa",0020-01-23,0
"79","Kansas",0020-01-23,0
"80","Kentucky",0020-01-23,0
"81","Louisiana",0020-01-23,0
"82","Maine",0020-01-23,0
"83","Maryland",0020-01-23,0
"84","Massachusetts",0020-01-23,0
