"","new","state","days"
"1",177,"California",0
"2",238,"California",1
"3",162,"California",2
"4",168,"Illinois",0
"5",437,"New Jersey",0
"6",241,"California",3
"7",296,"Illinois",1
"8",587,"New Jersey",1
"9",4073,"New York",0
"10",462,"California",4
"11",88,"Connecticut",0
"12",236,"Illinois",2
"13",335,"Louisiana",0
"14",930,"New Jersey",2
"15",5084,"New York",1
"16",87,"Ohio",0
"17",30,"Oregon",0
"18",224,"Washington",0
"19",430,"California",5
"20",203,"Connecticut",1
"21",36,"Delaware",0
"22",252,"Illinois",3
"23",216,"Louisiana",1
"24",464,"Michigan",0
"25",831,"New Jersey",3
"26",17,"New Mexico",0
"27",4797,"New York",2
"28",124,"Ohio",1
"29",19,"Oregon",1
"30",107,"Washington",1
"31",6,"West Virginia",1
"32",460,"California",6
"33",257,"Connecticut",2
"34",15,"Delaware",1
"35",1,"Hawaii",0
"36",10,"Idaho",0
"37",328,"Illinois",4
"38",109,"Indiana",0
"39",407,"Louisiana",2
"40",503,"Michigan",1
"41",727,"New Jersey",4
"42",13,"New Mexico",1
"43",5160,"New York",3
"44",137,"Ohio",2
"45",56,"Oregon",2
"46",30,"Vermont",0
"47",263,"Washington",2
"48",17,"West Virginia",2
"49",140,"Wisconsin",0
"50",901,"California",7
"51",409,"Colorado",0
"52",137,"Connecticut",3
"53",11,"Delaware",2
"54",4,"Hawaii",1
"55",55,"Idaho",1
"56",673,"Illinois",5
"57",168,"Indiana",1
"58",509,"Louisiana",3
"59",549,"Michigan",2
"60",2474,"New Jersey",5
"61",7036,"New York",4
"62",164,"Ohio",3
"63",50,"Oregon",3
"64",33,"Vermont",1
"65",616,"Washington",3
"66",13,"West Virginia",3
"67",107,"Wisconsin",1
"68",758,"California",8
"69",3,"Colorado",1
"70",279,"Connecticut",4
"71",33,"Delaware",3
"72",11,"Hawaii",2
"73",59,"Idaho",2
"74",486,"Illinois",6
"75",334,"Indiana",2
"76",440,"Louisiana",4
"77",789,"Michigan",3
"78",52,"Minnesota",0
"79",21,"New Hampshire",0
"80",1949,"New Jersey",6
"81",23,"New Mexico",3
"82",6999,"New York",5
"83",269,"Ohio",4
"84",100,"Oregon",4
"85",26,"Vermont",2
"86",270,"Washington",4
"87",24,"West Virginia",4
"88",198,"Wisconsin",2
"89",27,"Alaska",0
"90",438,"California",9
"91",307,"Colorado",2
"92",233,"Connecticut",5
"93",51,"Delaware",4
"94",43,"Hawaii",3
"95",29,"Idaho",3
"96",467,"Illinois",7
"97",254,"Indiana",3
"98",571,"Louisiana",5
"99",1016,"Michigan",4
"100",45,"Minnesota",1
"101",20,"Montana",0
"102",29,"New Hampshire",1
"103",2299,"New Jersey",7
"104",72,"New Mexico",4
"105",7534,"New York",6
"106",269,"Ohio",5
"107",63,"Oregon",5
"108",36,"Rhode Island",0
"109",27,"Vermont",3
"110",553,"Washington",5
"111",20,"West Virginia",5
"112",129,"Wisconsin",3
"113",17,"Alaska",1
"114",757,"California",10
"115",567,"Colorado",3
"116",469,"Connecticut",6
"117",18,"Delaware",5
"118",47,"Idaho",4
"119",1105,"Illinois",8
"120",280,"Indiana",4
"121",225,"Louisiana",6
"122",838,"Michigan",5
"123",62,"Minnesota",2
"124",25,"Montana",1
"125",27,"New Hampshire",2
"126",2262,"New Jersey",8
"127",29,"New Mexico",5
"128",7238,"New York",7
"129",247,"Ohio",6
"130",69,"Oregon",6
"131",55,"Rhode Island",1
"132",24,"Vermont",4
"133",435,"Washington",6
"134",17,"West Virginia",6
"135",109,"Wisconsin",4
"136",12,"Alaska",2
"137",1286,"California",11
"138",4,"Colorado",4
"139",578,"Connecticut",7
"140",32,"Delaware",6
"141",59,"District of Columbia",0
"142",26,"Hawaii",5
"143",59,"Idaho",5
"144",460,"Illinois",9
"145",273,"Indiana",5
"146",42,"Kansas",0
"147",485,"Louisiana",7
"148",174,"Maryland",0
"149",1010,"Michigan",6
"150",73,"Minnesota",3
"151",17,"Montana",2
"152",100,"New Hampshire",3
"153",3250,"New Jersey",9
"154",7015,"New York",8
"155",122,"North Carolina",0
"156",280,"Ohio",7
"157",58,"Oregon",7
"158",114,"Rhode Island",2
"159",21,"Vermont",5
"160",130,"Virginia",0
"161",458,"Washington",7
"162",32,"West Virginia",7
"163",66,"Wisconsin",5
"164",5,"Alaska",3
"165",132,"Arizona",0
"166",1072,"California",12
"167",655,"Colorado",5
"168",557,"Connecticut",8
"169",55,"Delaware",7
"170",94,"District of Columbia",1
"171",29,"Hawaii",6
"172",175,"Idaho",6
"173",938,"Illinois",10
"174",372,"Indiana",6
