state,time
 Alabama,4-Apr
 Alaska,28-Mar
 Arizona,31-Mar
 Arkansas,No
 California,19-Mar
 Colorado,26-Mar
 Connecticut,23-Mar
 Delaware,24-Mar
 District of Columbia,30-Mar
 Florida,3-Apr
 Georgia,3-Apr
 Hawaii,25-Mar
 Idaho,25-Mar
 Illinois,21-Mar
 Indiana,25-Mar
 Iowa,No
 Kansas,30-Mar
 Kentucky,March 26 (advisory)
 Louisiana,23-Mar
 Maine,2-Apr
 Maryland,30-Mar
 Massachusetts,March 24 (advisory)
 Michigan,24-Mar
 Minnesota,27-Mar
 Mississippi,3-Apr
 Missouri,6-Apr
 Montana,28-Mar
 Nebraska,No
 Nevada,1-Apr
 New Hampshire,27-Mar
 New Jersey,21-Mar
 New Mexico,24-Mar
 New York,22-Mar
 North Carolina,30-Mar
 North Dakota,No
 Ohio,23-Mar
 Oklahoma,April 2 (partial advisory)
 Oregon,23-Mar
 Pennsylvania,1-Apr
 Rhode Island,28-Mar
 South Carolina,7-Apr
 South Dakota,Regional
 Tennessee,2-Apr
 Texas,2-Apr
 Utah,Regional
 Vermont,25-Mar
 Virginia,30-Mar
 Washington,23-Mar
 West Virginia,23-Mar
 Wisconsin,25-Mar
 Wyoming,Regional
